Unnamed: 0,game_id,season,home_team,away_team,week,season_type,team.x,team.y,url
3323,2021_09_BUF_JAX,2021,JAX,BUF,9,REG,jaguars,bills,https://www.nfl.com/plus/games/bills-at-jaguars-2021-reg-9/
2332,2017_14_DET_TB,2017,TB,DET,14,REG,buccaneers,lions,https://www.nfl.com/plus/games/lions-at-buccaneers-2017-reg-14/
313,2010_03_SF_KC,2010,KC,SF,3,REG,chiefs,49ers,https://www.nfl.com/plus/games/49ers-at-chiefs-2010-reg-3/
106,2009_08_CLE_CHI,2009,CHI,CLE,8,REG,bears,browns,https://www.nfl.com/plus/games/browns-at-bears-2009-reg-8/
15,2009_01_TEN_PIT,2009,PIT,TEN,1,REG,steelers,titans,https://www.nfl.com/plus/games/titans-at-steelers-2009-reg-1/
3086,2020_11_ATL_NO,2020,NO,ATL,11,REG,saints,falcons,https://www.nfl.com/plus/games/falcons-at-saints-2020-reg-11/
48,2009_03_WAS_DET,2009,DET,WAS,3,REG,lions,redskins,https://www.nfl.com/plus/games/redskins-at-lions-2009-reg-3/
3990,2023_16_GB_CAR,2023,CAR,GB,16,REG,panthers,packers,https://www.nfl.com/plus/games/packers-at-panthers-2023-reg-16/
193,2009_14_ARI_SF,2009,SF,ARI,14,REG,49ers,cardinals,https://www.nfl.com/plus/games/cardinals-at-49ers-2009-reg-14/
582,2011_03_WAS_DAL,2011,DAL,WAS,3,REG,cowboys,redskins,https://www.nfl.com/plus/games/redskins-at-cowboys-2011-reg-3/
4002,2023_17_CIN_KC,2023,KC,CIN,17,REG,chiefs,bengals,https://www.nfl.com/plus/games/bengals-at-chiefs-2023-reg-17/
3597,2022_08_WAS_IND,2022,IND,WAS,8,REG,colts,commanders,https://www.nfl.com/plus/games/commanders-at-colts-2022-reg-8/
516,2010_17_MIN_DET,2010,DET,MIN,17,REG,lions,vikings,https://www.nfl.com/plus/games/vikings-at-lions-2010-reg-17/
467,2010_14_KC_SD,2010,LAC,KC,14,REG,chargers,chiefs,https://www.nfl.com/plus/games/chiefs-at-chargers-2010-reg-14/
3417,2021_16_BAL_CIN,2021,CIN,BAL,16,REG,bengals,ravens,https://www.nfl.com/plus/games/ravens-at-bengals-2021-reg-16/
2128,2016_18_NYG_GB,2016,GB,NYG,1,POST,packers,giants,https://www.nfl.com/plus/games/giants-at-packers-2016-post-1/
3038,2020_07_NYG_PHI,2020,PHI,NYG,7,REG,eagles,giants,https://www.nfl.com/plus/games/giants-at-eagles-2020-reg-7/
1766,2015_12_CAR_DAL,2015,DAL,CAR,12,REG,cowboys,panthers,https://www.nfl.com/plus/games/panthers-at-cowboys-2015-reg-12/
2942,2020_01_GB_MIN,2020,MIN,GB,1,REG,vikings,packers,https://www.nfl.com/plus/games/packers-at-vikings-2020-reg-1/
3997,2023_16_SEA_TEN,2023,TEN,SEA,16,REG,titans,seahawks,https://www.nfl.com/plus/games/seahawks-at-titans-2023-reg-16/
1840,2015_16_SF_DET,2015,DET,SF,16,REG,lions,49ers,https://www.nfl.com/plus/games/49ers-at-lions-2015-reg-16/
3731,2022_18_BAL_CIN,2022,CIN,BAL,18,REG,bengals,ravens,https://www.nfl.com/plus/games/ravens-at-bengals-2022-reg-18/
852,2012_04_CIN_JAX,2012,JAX,CIN,4,REG,jaguars,bengals,https://www.nfl.com/plus/games/bengals-at-jaguars-2012-reg-4/
2361,2017_16_ATL_NO,2017,NO,ATL,16,REG,saints,falcons,https://www.nfl.com/plus/games/falcons-at-saints-2017-reg-16/
3873,2023_08_LA_DAL,2023,DAL,LA,8,REG,cowboys,rams,https://www.nfl.com/plus/games/rams-at-cowboys-2023-reg-8/
2282,2017_10_SEA_ARI,2017,ARI,SEA,10,REG,cardinals,seahawks,https://www.nfl.com/plus/games/seahawks-at-cardinals-2017-reg-10/
3065,2020_09_MIA_ARI,2020,ARI,MIA,9,REG,cardinals,dolphins,https://www.nfl.com/plus/games/dolphins-at-cardinals-2020-reg-9/
1602,2014_21_NE_SEA,2014,SEA,NE,4,POST,seahawks,patriots,https://www.nfl.com/plus/games/patriots-at-seahawks-2014-post-4/
1604,2015_01_CAR_JAX,2015,JAX,CAR,1,REG,jaguars,panthers,https://www.nfl.com/plus/games/panthers-at-jaguars-2015-reg-1/
3691,2022_15_LA_GB,2022,GB,LA,15,REG,packers,rams,https://www.nfl.com/plus/games/rams-at-packers-2022-reg-15/
1801,2015_14_NE_HOU,2015,HOU,NE,14,REG,texans,patriots,https://www.nfl.com/plus/games/patriots-at-texans-2015-reg-14/
2067,2016_14_DAL_NYG,2016,NYG,DAL,14,REG,giants,cowboys,https://www.nfl.com/plus/games/cowboys-at-giants-2016-reg-14/
3028,2020_06_WAS_NYG,2020,NYG,WAS,6,REG,giants,football-team,https://www.nfl.com/plus/games/football-team-at-giants-2020-reg-6/
2207,2017_05_LAC_NYG,2017,NYG,LAC,5,REG,giants,chargers,https://www.nfl.com/plus/games/chargers-at-giants-2017-reg-5/
3902,2023_10_IND_NE,2023,NE,IND,10,REG,patriots,colts,https://www.nfl.com/plus/games/colts-at-patriots-2023-reg-10/
